branch,label,config,bandgap_eV,e_fermi_eV,d_CuN_mean,d_CuN_std,d_CuN_min,d_TaN_mean,d_TaN_std,d_TaN_min,d_metalN_mean,d_metalN_std
temperature_650.0,650 K,config_94,0.763370,5.180198,,,,,,,,
temperature_650.0,650 K,config_95,0.779931,5.215507,,,,,,,,
temperature_650.0,650 K,config_96,0.786702,5.183914,,,,,,,,
temperature_650.0,650 K,config_97,0.840907,5.198717,,,,,,,,
temperature_650.0,650 K,config_98,0.733964,5.214351,,,,,,,,
temperature_650.0,650 K,config_99,0.779002,5.180506,,,,,,,,
temperature_650.0,650 K,config_100,0.739844,5.258478,,,,,,,,
temperature_650.0,650 K,config_101,0.683182,5.253436,,,,,,,,
temperature_650.0,650 K,config_102,0.685395,5.267813,,,,,,,,
temperature_650.0,650 K,config_103,0.908434,5.156424,,,,,,,,
temperature_650.0,650 K,config_104,0.666848,5.255246,,,,,,,,
temperature_650.0,650 K,config_105,0.627817,5.262037,,,,,,,,
temperature_650.0,650 K,config_106,0.694673,5.263910,,,,,,,,
temperature_650.0,650 K,config_107,0.724407,5.252987,,,,,,,,
temperature_650.0,650 K,config_108,0.711448,5.247073,,,,,,,,
temperature_650.0,650 K,config_109,0.800883,5.179841,,,,,,,,
temperature_650.0,650 K,config_110,0.712293,5.248553,,,,,,,,
temperature_650.0,650 K,config_111,0.746931,5.255669,,,,,,,,
temperature_650.0,650 K,config_112,0.735216,5.245464,,,,,,,,
temperature_650.0,650 K,config_113,0.818889,5.256302,,,,,,,,
temperature_650.0,650 K,config_114,0.782829,5.186752,,,,,,,,
temperature_650.0,650 K,config_115,0.687292,5.240412,,,,,,,,
temperature_650.0,650 K,config_116,0.812934,5.226888,,,,,,,,
temperature_650.0,650 K,config_117,0.729084,5.266439,,,,,,,,
temperature_650.0,650 K,config_118,0.700252,5.263874,,,,,,,,
temperature_650.0,650 K,config_119,0.716522,5.201207,,,,,,,,
temperature_650.0,650 K,config_120,0.668999,5.265180,,,,,,,,
temperature_650.0,650 K,config_121,0.785557,5.229751,,,,,,,,
temperature_650.0,650 K,config_122,0.651446,5.266732,,,,,,,,
temperature_650.0,650 K,config_123,0.665423,5.260672,,,,,,,,
temperature_650.0,650 K,config_124,0.730153,5.262898,,,,,,,,
temperature_650.0,650 K,config_125,0.751245,5.268588,,,,,,,,
temperature_650.0,650 K,config_126,0.668685,5.197732,,,,,,,,
temperature_650.0,650 K,config_127,0.746888,5.214505,,,,,,,,
temperature_650.0,650 K,config_128,0.735195,5.240772,,,,,,,,
temperature_650.0,650 K,config_129,0.691312,5.247970,,,,,,,,
temperature_650.0,650 K,config_130,0.727680,5.200036,,,,,,,,
temperature_650.0,650 K,config_131,0.650847,5.262405,,,,,,,,
temperature_650.0,650 K,config_132,0.783047,5.264318,,,,,,,,
temperature_650.0,650 K,config_133,0.746177,5.272754,,,,,,,,
temperature_650.0,650 K,config_134,0.659760,5.289785,,,,,,,,
temperature_650.0,650 K,config_135,0.705504,5.273245,,,,,,,,
temperature_650.0,650 K,config_136,0.742564,5.257635,,,,,,,,
temperature_650.0,650 K,config_137,0.680699,5.255978,,,,,,,,
temperature_650.0,650 K,config_138,0.824462,5.187434,,,,,,,,
temperature_650.0,650 K,config_139,0.802504,5.258631,,,,,,,,
temperature_650.0,650 K,config_140,0.739551,5.245630,,,,,,,,
temperature_650.0,650 K,config_141,0.787363,5.202556,,,,,,,,
temperature_650.0,650 K,config_142,0.751797,5.216410,,,,,,,,
temperature_650.0,650 K,config_143,0.745019,5.257431,,,,,,,,
temperature_650.0,650 K,config_144,0.815091,5.179889,,,,,,,,
temperature_650.0,650 K,config_145,0.731261,5.259333,,,,,,,,
temperature_650.0,650 K,config_146,0.810546,5.213268,,,,,,,,
temperature_650.0,650 K,config_147,0.712711,5.248301,,,,,,,,
temperature_650.0,650 K,config_148,0.729263,5.263107,,,,,,,,
temperature_650.0,650 K,config_149,0.738220,5.240173,,,,,,,,
temperature_650.0,650 K,config_150,0.754423,5.266526,,,,,,,,
